Date,Timestamp ,Value
23-May,20200523152,26123
23-May,20200523151,26122
23-May,20200523150,26128
23-May,20200523149,26121
23-May,20200523148,26125
23-May,20200523147,26130
23-May,20200523146,26133
23-May,20200523145,26140
23-May,20200523144,26157
23-May,20200523143,26159
23-May,20200523142,26163
23-May,20200523141,26174
23-May,20200523140,26174
23-May,20200523139,26182
23-May,20200523138,26184
23-May,20200523137,26181
23-May,20200523136,26170
23-May,20200523135,26170
23-May,20200523134,26179
23-May,20200523133,26178
23-May,20200523132,26183
23-May,20200523131,26160
23-May,20200523130,26178
23-May,20200523129,26180
23-May,20200523128,26189
23-May,20200523127,26182
23-May,20200523126,26184
23-May,20200523125,26182
23-May,20200523124,26193
23-May,20200523123,26201
23-May,20200523122,26196
23-May,20200523121,26209
23-May,20200523120,26210
23-May,20200523119,26216
23-May,20200523118,26216
23-May,20200523117,26205
23-May,20200523116,26203
23-May,20200523115,26197
23-May,20200523114,26176
23-May,20200523113,26172
23-May,20200523112,26153
23-May,20200523111,26154
23-May,20200523110,26158
23-May,20200523109,26163
23-May,20200523108,26151
23-May,20200523107,26154
23-May,20200523106,26174
23-May,20200523105,26171
23-May,20200523104,26163
23-May,20200523103,26166
23-May,20200523102,26168
23-May,20200523101,26177
23-May,20200523100,26171
23-May,20200523099,26175
23-May,20200523098,26170
23-May,20200523097,26160
23-May,20200523096,26157
23-May,20200523095,26134
23-May,20200523094,26131
23-May,20200523093,26128
23-May,20200523092,26132
23-May,20200523091,26141
23-May,20200523090,26132
23-May,20200523089,26130
23-May,20200523088,26124
23-May,20200523087,26136
23-May,20200523086,26137
23-May,20200523085,26135
23-May,20200523084,26146
23-May,20200523083,26141
23-May,20200523082,26145
23-May,20200523081,26157
23-May,20200523080,26157
23-May,20200523079,26167
23-May,20200523078,26167
23-May,20200523077,26175
23-May,20200523076,26160
23-May,20200523075,26152
23-May,20200523074,26154
23-May,20200523073,26141
23-May,20200523072,26152
23-May,20200523071,26160
23-May,20200523070,26178
23-May,20200523069,26186
23-May,20200523068,26175
23-May,20200523067,26178
